Name,IATA,ICAO
Goroka Airport,GKA,AYGA
Madang Airport,MAG,AYMD
Mount Hagen Kagamuga Airport,HGU,AYMH
Nadzab Airport,LAE,AYNZ
Port Moresby Jacksons International Airport,POM,AYPY
Wewak International Airport,WWK,AYWK
Narsarsuaq Airport,UAK,BGBW
Godthaab / Nuuk Airport,GOH,BGGH
Kangerlussuaq Airport,SFJ,BGSF
Thule Air Base,THU,BGTL
Akureyri Airport,AEY,BIAR
Egilsstaðir Airport,EGS,BIEG
Hornafjörður Airport,HFN,BIHN
Húsavík Airport,HZK,BIHU
Ísafjörður Airport,IFJ,BIIS
Keflavik International Airport,KEF,BIKF
Patreksfjörður Airport,PFJ,BIPA
Reykjavik Airport,RKV,BIRK
Siglufjörður Airport,SIJ,BISI
Vestmannaeyjar Airport,VEY,BIVM
Sault Ste Marie Airport,YAM,CYAM
Winnipeg / St. Andrews Airport,\N,CYAV
Halifax / CFB Shearwater Heliport,\N,CYAW
St. Anthony Airport,YAY,CYAY
Tofino / Long Beach Airport,YAZ,CYAZ
Kugaaruk Airport,YBB,CYBB
Baie Comeau Airport,YBC,CYBC
CFB Bagotville,YBG,CYBG
Baker Lake Airport,YBK,CYBK
Campbell River Airport,YBL,CYBL
Brandon Municipal Airport,YBR,CYBR
Cambridge Bay Airport,YCB,CYCB
Nanaimo Airport,YCD,CYCD
Castlegar/West Kootenay Regional Airport,YCG,CYCG
Miramichi Airport,YCH,CYCH
Charlo Airport,YCL,CYCL
Kugluktuk Airport,YCO,CYCO
Coronation Airport,YCT,CYCT
Chilliwack Airport,YCW,CYCW
Clyde River Airport,YCY,CYCY
Coral Harbour Airport,YZS,CYZS
Dawson City Airport,YDA,CYDA
Burwash Airport,YDB,CYDB
Princeton Airport,\N,CYDC
Deer Lake Airport,YDF,CYDF
Dease Lake Airport,YDL,CYDL
Dauphin Barker Airport,YDN,CYDN
Dawson Creek Airport,YDQ,CYDQ
Edmonton International Airport,YEG,CYEG
Arviat Airport,YEK,CYEK
Estevan Airport,YEN,CYEN
Edson Airport,YET,CYET
Eureka Airport,YEU,CYEU
Inuvik Mike Zubko Airport,YEV,CYEV
Iqaluit Airport,YFB,CYFB
Fredericton Airport,YFC,CYFC
Forestville Airport,YFE,CYFE
Flin Flon Airport,YFO,CYFO
Fort Resolution Airport,YFR,CYFR
Fort Simpson Airport,YFS,CYFS
Kingston Norman Rogers Airport,YGK,CYGK
La Grande Rivière Airport,YGL,CYGL
Gaspé (Michel-Pouliot) Airport,YGP,CYGP
Geraldton Greenstone Regional Airport,YGQ,CYGQ
Îles-de-la-Madeleine Airport,YGR,CYGR
Hudson Bay Airport,YHB,CYHB
Dryden Regional Airport,YHD,CYHD
Ulukhaktok Holman Airport,YHI,CYHI
Gjoa Haven Airport,YHK,CYHK
John C. Munro Hamilton International Airport,YHM,CYHM
Montréal / Saint-Hubert Airport,YHU,CYHU
Hay River / Merlyn Carter Airport,YHY,CYHY
Halifax / Stanfield International Airport,YHZ,CYHZ
Atikokan Municipal Airport,YIB,CYIB
Pond Inlet Airport,YIO,CYIO
St Jean Airport,YJN,CYJN
Stephenville Airport,YJT,CYJT
Kamloops Airport,YKA,CYKA
Waterloo Airport,YKF,CYKF
Schefferville Airport,YKL,CYKL
Kindersley Airport,YKY,CYKY
Buttonville Municipal Airport,YKZ,CYKZ
Chapleau Airport,YLD,CYLD
Meadow Lake Airport,YLJ,CYLJ
Lloydminster Airport,YLL,CYLL
Alert Airport,YLT,CYLT
Kelowna International Airport,YLW,CYLW
Mayo Airport,YMA,CYMA
Moose Jaw Air Vice Marshal C. M. McEwen Airport,YMJ,CYMJ
Fort McMurray Airport,YMM,CYMM
Moosonee Airport,YMO,CYMO
Maniwaki Airport,YMW,CYMW
Montreal International (Mirabel) Airport,YMX,CYMX
Natashquan Airport,YNA,CYNA
Ottawa / Gatineau Airport,YND,CYND
Matagami Airport,YNM,CYNM
Old Crow Airport,YOC,CYOC
CFB Cold Lake,YOD,CYOD
High Level Airport,YOJ,CYOJ
Ottawa Macdonald-Cartier International Airport,YOW,CYOW
Prince Albert Glass Field,YPA,CYPA
Peace River Airport,YPE,CYPE
Southport Airport,YPG,CYPG
Pitt Meadows Airport,\N,CYPK
Pickle Lake Airport,YPL,CYPL
Port Menier Airport,YPN,CYPN
Peterborough Airport,YPQ,CYPQ
Prince Rupert Airport,YPR,CYPR
Fort Chipewyan Airport,YPY,CYPY
Muskoka Airport,YQA,CYQA
Quebec Jean Lesage International Airport,YQB,CYQB
Red Deer Regional Airport,YQF,CYQF
Windsor Airport,YQG,CYQG
Watson Lake Airport,YQH,CYQH
Kenora Airport,YQK,CYQK
Lethbridge County Airport,YQL,CYQL
Greater Moncton International Airport,YQM,CYQM
Comox Airport,YQQ,CYQQ
Regina International Airport,YQR,CYQR
Thunder Bay Airport,YQT,CYQT
Grande Prairie Airport,YQU,CYQU
Yorkton Municipal Airport,YQV,CYQV
North Battleford Airport,YQW,CYQW
Gander International Airport,YQX,CYQX
Sydney / J.A. Douglas McCurdy Airport,YQY,CYQY
Quesnel Airport,YQZ,CYQZ
Resolute Bay Airport,YRB,CYRB
Rivière-du-Loup Airport,YRI,CYRI
Roberval Airport,YRJ,CYRJ
Rocky Mountain House Airport,YRM,CYRM
Rankin Inlet Airport,YRT,CYRT
Sudbury Airport,YSB,CYSB
Sherbrooke Airport,YSC,CYSC
Saint John Airport,YSJ,CYSJ
Fort Smith Airport,YSM,CYSM
Nanisivik Airport,YSR,CYSR
Summerside Airport,YSU,CYSU
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,YSY,CYSY
Cape Dorset Airport,YTE,CYTE
Thompson Airport,YTH,CYTH
CFB Trenton,YTR,CYTR
Timmins/Victor M. Power,YTS,CYTS
Billy Bishop Toronto City Centre Airport,YTZ,CYTZ
Tuktoyaktuk Airport,YUB,CYUB
Montreal / Pierre Elliott Trudeau International Airport,YUL,CYUL
Repulse Bay Airport,YUT,CYUT
Hall Beach Airport,YUX,CYUX
Rouyn Noranda Airport,YUY,CYUY
La Ronge Airport,YVC,CYVC
Vermilion Airport,YVG,CYVG
Qikiqtarjuaq Airport,YVM,CYVM
Val-d'Or Airport,YVO,CYVO
Kuujjuaq Airport,YVP,CYVP
Norman Wells Airport,YVQ,CYVQ
Vancouver International Airport,YVR,CYVR
Buffalo Narrows Airport,YVT,CYVT
Wiarton Airport,YVV,CYVV
Petawawa Airport,YWA,CYWA
Winnipeg / James Armstrong Richardson International Airport,YWG,CYWG
Wabush Airport,YWK,CYWK
Williams Lake Airport,YWL,CYWL
Wrigley Airport,YWY,CYWY
Cranbrook/Canadian Rockies International Airport,YXC,CYXC
Edmonton City Centre (Blatchford Field) Airport,YXD,CYXD
Saskatoon John G. Diefenbaker International Airport,YXE,CYXE
Medicine Hat Airport,YXH,CYXH
Fort St John Airport,YXJ,CYXJ
Sioux Lookout Airport,YXL,CYXL
Pangnirtung Airport,YXP,CYXP
Earlton (Timiskaming Regional) Airport,YXR,CYXR
Prince George Airport,YXS,CYXS
Northwest Regional Airport Terrace-Kitimat,YXT,CYXT
London Airport,YXU,CYXU
Abbotsford Airport,YXX,CYXX
Whitehorse / Erik Nielsen International Airport,YXY,CYXY
North Bay Jack Garland Airport,YYB,CYYB
Calgary International Airport,YYC,CYYC
Smithers Airport,YYD,CYYD
Fort Nelson Airport,YYE,CYYE
Penticton Airport,YYF,CYYF
Charlottetown Airport,YYG,CYYG
Taloyoak Airport,YYH,CYYH
Victoria International Airport,YYJ,CYYJ
Lynn Lake Airport,YYL,CYYL
Swift Current Airport,YYN,CYYN
Churchill Airport,YYQ,CYYQ
Goose Bay Airport,YYR,CYYR
St. John's International Airport,YYT,CYYT
Kapuskasing Airport,YYU,CYYU
Armstrong Airport,YYW,CYYW
Mont Joli Airport,YYY,CYYY
Lester B. Pearson International Airport,YYZ,CYYZ
Downsview Airport,YZD,CYZD
Gore Bay Manitoulin Airport,YZE,CYZE
Yellowknife Airport,YZF,CYZF
Slave Lake Airport,YZH,CYZH
Sandspit Airport,YZP,CYZP
Chris Hadfield Airport,YZR,CYZR
Port Hardy Airport,YZT,CYZT
Whitecourt Airport,YZU,CYZU
Sept-Îles Airport,YZV,CYZV
Teslin Airport,YZW,CYZW
CFB Greenwood,YZX,CYZX
Faro Airport,ZFA,CZFA
Fort Mcpherson Airport,ZFM,CZFM
Blida Airport,QLD,DAAB
Bou Saada Airport,BUJ,DAAD
Soummam Airport,BJA,DAAE
Houari Boumediene Airport,ALG,DAAG
Djanet Inedbirene Airport,DJG,DAAJ
Boufarik Airport,\N,DAAK
Reggane Airport,\N,DAAN
Illizi Takhamalt Airport,VVZ,DAAP
Ain Oussera Airport,\N,DAAQ
Aguenar – Hadj Bey Akhamok Airport,TMR,DAAT
Jijel Ferhat Abbas Airport,GJL,DAAV
Mecheria Airport,MZW,DAAY
Relizane Airport,\N,DAAZ
Rabah Bitat Airport,AAE,DABB
Mohamed Boudiaf International Airport,CZL,DABC
Cheikh Larbi Tébessi Airport,TEE,DABS
Hassi R'Mel Airport,HRM,DAFH
Bou Chekif Airport,TID,DAOB
Bou Sfer Airport,\N,DAOE
Tindouf Airport,TIN,DAOF
Ech Cheliff Airport,CFK,DAOI
Tafaraoui Airport,TAF,DAOL
Zenata – Messali El Hadj Airport,TLM,DAON
Es Senia Airport,ORN,DAOO
Sidi Bel Abbes Airport,BFW,DAOS
Ghriss Airport,MUW,DAOV
Touat Cheikh Sidi Mohamed Belkebir Airport,AZR,DAUA
Biskra Airport,BSK,DAUB
El Golea Airport,ELG,DAUE
Noumérat - Moufdi Zakaria Airport,GHA,DAUG
Oued Irara Airport,HME,DAUH
In Salah Airport,INZ,DAUI
Touggourt Sidi Madhi Airport,TGR,DAUK
Laghouat Airport,LOO,DAUL
Timimoun Airport,TMX,DAUT
Ain el Beida Airport,OGX,DAUU
In Aménas Airport,IAM,DAUZ
Cadjehoun Airport,COO,DBBB
Ouagadougou Airport,OUA,DFFD
Bobo Dioulasso Airport,BOY,DFOO
Kotoka International Airport,ACC,DGAA
Tamale Airport,TML,DGLE
Wa Airport,\N,DGLW
Sunyani Airport,NYI,DGSN
Takoradi Airport,TKD,DGTK
Port Bouet Airport,ABJ,DIAP
Bouaké Airport,BYK,DIBK
Daloa Airport,DJO,DIDL
Korhogo Airport,HGO,DIKO
Man Airport,MJC,DIMN
San Pedro Airport,SPY,DISP
Yamoussoukro Airport,ASK,DIYO
Nnamdi Azikiwe International Airport,ABV,DNAA
Akure Airport,AKR,DNAK
Benin Airport,BNI,DNBE
Margaret Ekpo International Airport,CBQ,DNCA
Akanu Ibiam International Airport,ENU,DNEN
Gusau Airport,\N,DNGU
Ibadan Airport,IBA,DNIB
Ilorin International Airport,ILR,DNIL
Yakubu Gowon Airport,JOS,DNJO
Kaduna Airport,KAD,DNKA
Mallam Aminu International Airport,KAN,DNKN
Maiduguri International Airport,MIU,DNMA
Makurdi Airport,MDI,DNMK
Murtala Muhammed International Airport,LOS,DNMM
Minna Airport,MXJ,DNMN
Port Harcourt International Airport,PHC,DNPO
Sadiq Abubakar III International Airport,SKO,DNSO
Yola Airport,YOL,DNYO
Zaria Airport,ZAR,DNZA
Maradi Airport,MFQ,DRRM
Diori Hamani International Airport,NIM,DRRN
Tahoua Airport,THZ,DRRT
Mano Dayak International Airport,AJY,DRZA
Dirkou Airport,\N,DRZD
Diffa Airport,\N,DRZF
Zinder Airport,ZND,DRZR
Monastir Habib Bourguiba International Airport,MIR,DTMB
Tunis Carthage International Airport,TUN,DTTA
Sidi Ahmed Air Base,\N,DTTB
Remada Air Base,\N,DTTD
Gafsa Ksar International Airport,GAF,DTTF
Gabès Matmata International Airport,GAE,DTTG
Borj El Amri Airport,\N,DTTI
Djerba Zarzis International Airport,DJE,DTTJ
El Borma Airport,EBM,DTTR
Sfax Thyna International Airport,SFA,DTTX
Tozeur Nefta International Airport,TOE,DTTZ
Niamtougou International Airport,LRL,DXNG
Lomé-Tokoin Airport,LFW,DXXX
Antwerp International Airport (Deurne),ANR,EBAW
Beauvechain Air Base,\N,EBBE
Kleine Brogel Air Base,\N,EBBL
Brussels Airport,BRU,EBBR
Jehonville Air Base,\N,EBBX
Brussels South Charleroi Airport,CRL,EBCI
Chièvres Air Base,\N,EBCV
Koksijde Air Base,\N,EBFN
Florennes Air Base,\N,EBFS
Wevelgem Airport,KJK,EBKT
Liège Airport,LGG,EBLG
Ostend-Bruges International Airport,OST,EBOS
Zutendaal Air Base,\N,EBSL
Brustem Airfield Sint Truiden,\N,EBST
Saint Hubert Air Base,\N,EBSU
Ursel Air Base,\N,EBUL
Weelde Air Base,\N,EBWE
Zoersel (Oostmalle) Airfield,OBL,EBZR
Flugplatz Bautzen,\N,EDAB
Altenburg-Nobitz Airport,AOC,EDAC
Dessau Airfield,\N,EDAD
Eisenhüttenstadt Airfield,\N,EDAE
Großenhain Airport,\N,EDAK
Merseburg Airport,\N,EDAM
Halle-Oppin Airport,\N,EDAQ
Riesa-Göhlis Airport,IES,EDAU
Rechlin-Lärz Airport,REB,EDAX
Strausberg Airport,\N,EDAY
Schönhagen Airport,QXH,EDAZ
Barth Airport,BBH,EDBH
Jena-Schöngleina Airfield,\N,EDBJ
Kyritz Airport,\N,EDBK
"Magdeburg ""City"" Airport",ZMG,EDBM
Rothenburg/Görlitz Airport,\N,EDBR
Anklam Airfield,\N,EDCA
Cottbus-Drewitz Airport,CBU,EDCD
Kamenz Airport,\N,EDCM
Berlin-Schönefeld Airport,SXF,EDDB
Dresden Airport,DRS,EDDC
Erfurt Airport,ERF,EDDE
Frankfurt am Main Airport,FRA,EDDF
Münster Osnabrück Airport,FMO,EDDG
Hamburg Airport,HAM,EDDH
Berlin-Tempelhof International Airport,THF,EDDI
Cologne Bonn Airport,CGN,EDDK
Düsseldorf Airport,DUS,EDDL
Munich Airport,MUC,EDDM
Nuremberg Airport,NUE,EDDN
Leipzig/Halle Airport,LEJ,EDDP
Saarbrücken Airport,SCN,EDDR
Stuttgart Airport,STR,EDDS
Berlin-Tegel Airport,TXL,EDDT
Hannover Airport,HAJ,EDDV
Bremen Airport,BRE,EDDW
Frankfurt-Egelsbach Airport,QEF,EDFE
Frankfurt-Hahn Airport,HHN,EDFH
Mannheim-City Airport,MHG,EDFM
Allendorf/Eder Airport,\N,EDFQ
Worms Airport,\N,EDFV
Mainz-Finthen Airport,\N,EDFZ
Eisenach-Kindel Airport,EIB,EDGE
Siegerland Airport,SGE,EDGS
Hamburg-Finkenwerder Airport,XFW,EDHI
Kiel-Holtenau Airport,KEL,EDHK
Lübeck Blankensee Airport,LBC,EDHL
Flugplatz Dahlemer Binz,\N,EDKV
Meinerzhagen Airport,\N,EDKZ
Arnsberg-Menden Airport,\N,EDLA
Essen Mulheim Airport,ESS,EDLE
Bielefeld Airport,BFE,EDLI
Mönchengladbach Airport,MGL,EDLN
Paderborn Lippstadt Airport,PAD,EDLP
