id,text,unit,updated,firstPeriod,latestPeriod,active,variables
FOLK1A,Folketal den 1. i kvartalet,Antal,2022-02-11T08:00:00,2008K1,2022K1,True,"['område', 'køn', 'alder', 'civilstand', 'tid']"
FOLK1AM,Folketal den 1. i måneden,Antal,2022-03-07T08:00:00,2021M10,2022M02,True,"['område', 'køn', 'alder', 'tid']"
FOLK3,Folketal 1. januar,Antal,2022-02-11T08:00:00,2008,2022,True,"['fødselsdag', 'fødselsmåned', 'fødselsår', 'tid']"
BEF5,Folketal pr. 1. januar,Antal,2022-02-11T08:00:00,1990,2022,True,"['køn', 'alder', 'fødeland', 'tid']"
FT,Folketal (summariske tal fra folketællinger),Antal,2022-02-11T08:00:00,1769,2022,True,"['hovedlandsdele', 'tid']"
BY1,Folketal 1. januar,Antal,2021-04-29T08:00:00,2010,2021,True,"['byområder og landdistrikter', 'alder', 'køn', 'tid']"
BY2,Folketal 1. januar,Antal,2021-04-29T08:00:00,2010,2021,True,"['kommune', 'bystørrelse', 'alder', 'køn', 'tid']"
BY3,Folketal 1. januar,-,2021-04-29T08:00:00,2017,2021,True,"['byområder og landdistrikter', 'folketal, areal og befolkningstæthed', 'tid']"
KM1,Folketal den 1. i kvartalet,Antal,2022-02-17T08:00:00,2007K1,2022K1,True,"['sogn', 'folkekirkemedlemsskab', 'tid']"
SOGN1,Folketal 1. januar,Antal,2022-02-17T08:00:00,2010,2022,True,"['sogn', 'køn', 'alder', 'tid']"
SOGN10,Folketal 1. januar,Antal,2021-09-22T08:00:00,1925,2021,True,"['sogn', 'tid']"
BEF4,Folketal 1. januar,Antal,2021-03-31T08:00:00,1901,2021,True,"['øer', 'tid']"
BEF5F,Personer født på Færøerne og bosat i Danmark 1. januar,Antal,2022-02-11T08:00:00,2008,2022,True,"['køn', 'alder', 'forældrenes fødested', 'tid']"
BEF5G,Personer født i Grønland og bosat i Danmark 1. januar,Antal,2022-02-11T08:00:00,2008,2022,True,"['køn', 'alder', 'forældrenes fødested', 'tid']"
BEV22,Befolkningens udvikling (foreløbig opgørelse),Antal,2022-02-11T08:00:00,2007K2,2021K4,True,"['område', 'bevægelsesart', 'køn', 'tid']"
BEV107,Befolkningens udvikling,Antal,2022-02-11T08:00:00,2006,2021,True,"['område', 'bevægelsesart', 'køn', 'tid']"
KMSTA003,Befolkningens udvikling,Antal,2022-02-17T08:00:00,2015,2021,True,"['sogn', 'bevægelser', 'tid']"
GALDER,Gennemsnitsalder,Gns.,2022-02-11T08:00:00,2005,2022,True,"['kommune', 'køn', 'tid']"
KMGALDER,Gennemsnitsalder,Gns.,2022-02-17T08:00:00,2007,2022,True,"['sogn', 'køn', 'tid']"
HISB3,Nøgletal om befolkningen,Antal,2022-02-11T08:00:00,1901,2022,True,"['bevægelsesart', 'tid']"
FOLK1B,Folketal den 1. i kvartalet,Antal,2022-02-11T08:00:00,2008K1,2022K1,True,"['område', 'køn', 'alder', 'statsborgerskab', 'tid']"
FOLK1C,Folketal den 1. i kvartalet,Antal,2022-02-11T08:00:00,2008K1,2022K1,True,"['område', 'køn', 'alder', 'herkomst', 'oprindelsesland', 'tid']"
FOLK1D,Folketal den 1. i kvartalet,Antal,2022-02-11T08:00:00,2008K1,2022K1,True,"['område', 'køn', 'alder', 'statsborgerskab', 'tid']"
FOLK1E,Folketal den 1. i kvartalet,Antal,2022-02-11T08:00:00,2008K1,2022K1,True,"['område', 'køn', 'alder', 'herkomst', 'tid']"
FOLK2,Folketal 1. januar,Antal,2022-02-11T08:00:00,1980,2022,True,"['alder', 'køn', 'herkomst', 'statsborgerskab', 'oprindelsesland', 'tid']"
KMSTA001,Folketal 1. januar,Antal,2022-02-17T08:00:00,2008,2022,True,"['sogn', 'herkomst', 'folkekirkemedlemsskab', 'tid']"
INDOPH1,Indvandrere 1. januar,Antal,2021-06-01T08:00:00,2008,2021,True,"['første opholdsgrundlag', 'område', 'tid']"
INDOPH2,Indvandrere 1. januar,Antal,2021-06-01T08:00:00,2008,2021,True,"['første opholdsgrundlag', 'oprindelseslandegruppe', 'tid']"
KRYDS1,Folketal 1. januar,Antal,2022-02-11T08:00:00,2019,2022,True,"['Hovedpersons herkomst', 'Hovedpersons fødeland', 'Hovedpersons statsborgerskab', 'Moders fødeland', 'moders statsborgerskab', 'Faders fødeland', 'faders statsborgerskab', 'tid']"
KRYDS2,Personer med dansk oprindelse 1. januar,Antal,2022-02-11T08:00:00,2019,2022,True,"['Hovedpersons fødeland', 'forældres fødeland og statsborgerskab', 'hovedpersonens alder', 'tid']"
